(-0.316031,-10.2107)
(-6.48624,6.42527)
(10.4358,-13.2869)
(-16.9208,4.01748)
(1.48431,-10.8856)
(3.00315,-8.78436)
(-3.24293,-1.63351)
(10.9991,-6.34005)
(-8.1679,-25.4414)
(14.9676,-10.9418)
(-22.3125,-19.4334)
(3.27592,6.28085)
(3.97361,6.2565)
(-6.40337,15.0064)
(8.16633,2.6438)
(-13.0711,-23.8282)
(-25.891,2.60579)
(-3.6908,-26.1741)
(-31.1324,3.61523)
(-20.7159,9.35966)
(8.63139,-6.87803)
(-9.24936,-1.44933)
(5.87443,-4.23807)
(5.64752,-15.0492)
(0.283397,5.82536)
(-10.7171,10.6266)
(14.521,18.1346)
(-10.2988,-1.98488)
(-4.15721,-12.1688)
(33.9157,-14.2363)
(-31.6186,25.9069)
(-4.17594,6.48039)
(9.13227,36.4767)
(6.21372,-0.548938)
(16.0144,9.06026)
(-10.9433,14.982)
(25.4694,8.83949)
(16.5558,-2.44016)
(-6.73473,8.25074)
(13.8422,6.25558)
(3.89627,20.3195)
(-17.3798,21.6265)
(-2.93825,6.83061)
(5.58191,-0.44057)
(6.43294,-4.85505)
(1.8256,18.45)
(28.0609,1.91015)
(-8.45888,12.7554)
(11.15,-19.6822)
(-19.2695,-7.32422)
(-6.83788,18.3882)
(12.3546,-9.83567)
(12.4305,-20.033)
(-2.00138,10.8864)
(-16.6171,-13.1012)
(24.0051,-9.84563)
(-0.895052,3.40071)
(6.20643,4.59885)
(-28.761,-9.49972)
(6.01041,0.149267)
(4.52088,-21.9746)
(8.51198,2.8821)
(19.4015,-28.3581)
(24.5822,-17.6887)
(-16.8303,-8.09923)
(9.2256,-13.8901)
(-1.18702,-24.4252)
(-6.84381,10.333)
(-5.32057,-13.2769)
(41.4736,2.61066)
(-37.5051,12.6059)
(1.8773,12.8059)
(-1.59787,-10.8836)
(-30.7328,-1.57578)
(2.26948,14.054)
(-2.08908,17.9589)
(5.88807,26.4502)
(10.2772,1.06642)
(5.38016,-11.9533)
(-12.8341,13.5215)
(15.1101,2.30775)
(5.74398,11.6907)
(15.4579,-3.3051)
(10.2599,-8.4677)
(1.55966,-32.2765)
(39.6171,-10.6448)
(-13.0409,-6.31759)
(-4.26827,4.26883)
(18.0048,10.5364)
(9.85003,-4.99861)
(-2.43017,-28.2509)
(-31.6618,-3.12326)
(15.7931,8.85635)
(4.49352,25.116)
(10.0793,15.6812)
(4.23255,-3.44461)
(15.2172,26.2403)
(13.7186,9.57152)
(10.1744,-8.38434)
(-9.12726,7.98596)
(-9.8371,-10.7439)
